,geoid,year,NAME,B01001_001E,B19013_001E,B25077_001E,B03002_003E,B03002_004E,B02001_004E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,state,county,tract
0,34003007002,2017,"Census Tract 70.02, Bergen County, New Jersey",4710,153750.0,724800.0,2737.0,61.0,0.0,1770.0,0.0,11.0,26.0,105.0,34,003,007002
1,34003009100,2017,"Census Tract 91, Bergen County, New Jersey",5031,149271.0,673200.0,2863.0,14.0,0.0,1638.0,0.0,0.0,119.0,397.0,34,003,009100
2,34003006300,2017,"Census Tract 63, Bergen County, New Jersey",8511,62491.0,431400.0,3029.0,364.0,0.0,746.0,0.0,23.0,287.0,4062.0,34,003,006300
3,34003015200,2017,"Census Tract 152, Bergen County, New Jersey",6483,69746.0,348100.0,1298.0,2024.0,3.0,648.0,0.0,14.0,195.0,2301.0,34,003,015200
4,34003015500,2017,"Census Tract 155, Bergen County, New Jersey",5978,109063.0,559100.0,3353.0,1064.0,0.0,1202.0,0.0,0.0,62.0,297.0,34,003,015500
5,34003051100,2017,"Census Tract 511, Bergen County, New Jersey",6134,83881.0,454400.0,3743.0,209.0,0.0,1126.0,0.0,0.0,173.0,883.0,34,003,051100
6,34003042100,2017,"Census Tract 421, Bergen County, New Jersey",7303,92875.0,505900.0,4553.0,116.0,0.0,1974.0,0.0,0.0,0.0,660.0,34,003,042100
7,34003046200,2017,"Census Tract 462, Bergen County, New Jersey",4151,94212.0,332800.0,1754.0,58.0,3.0,445.0,4.0,0.0,36.0,1851.0,34,003,046200
8,34003048200,2017,"Census Tract 482, Bergen County, New Jersey",7543,162083.0,493900.0,5303.0,108.0,0.0,1323.0,0.0,76.0,10.0,723.0,34,003,048200
9,34003057102,2017,"Census Tract 571.02, Bergen County, New Jersey",4035,66551.0,371800.0,3103.0,2.0,7.0,294.0,0.0,9.0,11.0,609.0,34,003,057102
10,34003058100,2017,"Census Tract 581, Bergen County, New Jersey",3885,136063.0,513600.0,3224.0,17.0,0.0,183.0,0.0,0.0,0.0,461.0,34,003,058100
11,34003017100,2017,"Census Tract 171, Bergen County, New Jersey",7189,142143.0,459200.0,5768.0,1.0,0.0,651.0,14.0,35.0,32.0,688.0,34,003,017100
12,34003017200,2017,"Census Tract 172, Bergen County, New Jersey",5918,83778.0,366400.0,3851.0,136.0,0.0,542.0,0.0,0.0,83.0,1306.0,34,003,017200
13,34003011300,2017,"Census Tract 113, Bergen County, New Jersey",4292,88776.0,351000.0,2666.0,174.0,30.0,268.0,0.0,0.0,141.0,1013.0,34,003,011300
14,34003050000,2017,"Census Tract 500, Bergen County, New Jersey",5677,78333.0,371300.0,3538.0,77.0,10.0,680.0,0.0,0.0,51.0,1326.0,34,003,050000
15,34003051200,2017,"Census Tract 512, Bergen County, New Jersey",2541,121023.0,460400.0,1867.0,20.0,6.0,110.0,0.0,0.0,44.0,500.0,34,003,051200
16,34003003500,2017,"Census Tract 35, Bergen County, New Jersey",4106,56364.0,346900.0,823.0,411.0,0.0,1247.0,0.0,0.0,58.0,1567.0,34,003,003500
17,34003016000,2017,"Census Tract 160, Bergen County, New Jersey",5435,134629.0,995300.0,2738.0,99.0,20.0,2221.0,0.0,0.0,90.0,267.0,34,003,016000
18,34003017300,2017,"Census Tract 173, Bergen County, New Jersey",6525,122616.0,408900.0,4880.0,32.0,12.0,587.0,0.0,34.0,0.0,980.0,34,003,017300
19,34003019202,2017,"Census Tract 192.02, Bergen County, New Jersey",1957,83523.0,367700.0,559.0,54.0,4.0,827.0,4.0,14.0,63.0,432.0,34,003,019202
20,34003021100,2017,"Census Tract 211, Bergen County, New Jersey",6972,61984.0,355200.0,4802.0,111.0,0.0,106.0,4.0,33.0,107.0,1809.0,34,003,021100
21,34003001000,2017,"Census Tract 10, Bergen County, New Jersey",6820,151875.0,682100.0,5682.0,74.0,0.0,801.0,0.0,0.0,140.0,123.0,34,003,001000
