geoid,year,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,state,county,tract
34003001000,2014,898.0,442.0,98.0,36.0,840.0,387.0,99.0,14.0,34,003,001000
34003002100,2014,219.0,118.0,93.0,6.0,251.0,104.0,76.0,3.0,34,003,002100
34003002200,2014,633.0,147.0,18.0,13.0,490.0,159.0,28.0,32.0,34,003,002200
34003002300,2014,601.0,239.0,93.0,38.0,887.0,196.0,40.0,35.0,34,003,002300
34003003100,2014,355.0,124.0,29.0,3.0,545.0,185.0,16.0,9.0,34,003,003100
34003003200,2014,441.0,105.0,23.0,25.0,552.0,156.0,6.0,6.0,34,003,003200
34003003300,2014,527.0,70.0,20.0,24.0,598.0,143.0,0.0,0.0,34,003,003300
34003003401,2014,307.0,77.0,70.0,16.0,303.0,108.0,35.0,13.0,34,003,003401
34003003402,2014,408.0,127.0,41.0,20.0,367.0,168.0,11.0,7.0,34,003,003402
34003003500,2014,284.0,68.0,0.0,0.0,455.0,90.0,0.0,9.0,34,003,003500
34003004001,2014,220.0,50.0,9.0,0.0,222.0,83.0,29.0,0.0,34,003,004001
34003004002,2014,230.0,171.0,16.0,26.0,238.0,128.0,21.0,34.0,34,003,004002
34003005000,2014,493.0,192.0,46.0,57.0,398.0,159.0,14.0,0.0,34,003,005000
34003006100,2014,526.0,196.0,78.0,47.0,783.0,246.0,60.0,26.0,34,003,006100
34003006201,2014,329.0,162.0,60.0,0.0,495.0,186.0,23.0,16.0,34,003,006201
34003006202,2014,526.0,228.0,160.0,66.0,805.0,387.0,65.0,95.0,34,003,006202
34003006300,2014,523.0,179.0,117.0,25.0,868.0,256.0,136.0,81.0,34,003,006300
34003007001,2014,450.0,230.0,90.0,26.0,563.0,181.0,35.0,4.0,34,003,007001
34003007002,2014,559.0,227.0,87.0,73.0,667.0,154.0,66.0,58.0,34,003,007002
34003008000,2014,905.0,423.0,202.0,117.0,1193.0,410.0,149.0,42.0,34,003,008000
34003009100,2014,614.0,406.0,210.0,34.0,600.0,426.0,142.0,34.0,34,003,009100
34003009200,2014,422.0,223.0,86.0,30.0,500.0,227.0,78.0,10.0,34,003,009200
34003010100,2014,600.0,168.0,32.0,0.0,639.0,129.0,108.0,22.0,34,003,010100
34003010200,2014,355.0,101.0,32.0,16.0,412.0,70.0,68.0,0.0,34,003,010200
34003010300,2014,695.0,307.0,42.0,13.0,649.0,367.0,11.0,37.0,34,003,010300
34003011100,2014,319.0,46.0,30.0,0.0,251.0,41.0,40.0,0.0,34,003,011100
34003011200,2014,291.0,66.0,28.0,8.0,329.0,78.0,10.0,0.0,34,003,011200
34003011300,2014,206.0,149.0,44.0,34.0,574.0,108.0,8.0,0.0,34,003,011300
34003011400,2014,384.0,51.0,36.0,34.0,341.0,106.0,15.0,0.0,34,003,011400
34003012001,2014,582.0,201.0,28.0,47.0,823.0,149.0,23.0,0.0,34,003,012001
34003012002,2014,305.0,141.0,41.0,0.0,324.0,166.0,22.0,41.0,34,003,012002
34003013001,2014,952.0,377.0,322.0,231.0,1502.0,278.0,112.0,60.0,34,003,013001
34003013002,2014,884.0,250.0,159.0,100.0,825.0,363.0,164.0,61.0,34,003,013002
34003014000,2014,851.0,277.0,42.0,39.0,739.0,389.0,33.0,23.0,34,003,014000
34003015100,2014,227.0,115.0,232.0,41.0,288.0,197.0,141.0,28.0,34,003,015100
34003015200,2014,535.0,187.0,32.0,34.0,601.0,131.0,82.0,55.0,34,003,015200
34003015300,2014,263.0,60.0,0.0,30.0,573.0,238.0,9.0,0.0,34,003,015300
34003015400,2014,676.0,135.0,123.0,80.0,920.0,189.0,41.0,40.0,34,003,015400
34003015500,2014,761.0,263.0,229.0,59.0,852.0,516.0,82.0,90.0,34,003,015500
34003016000,2014,647.0,243.0,239.0,101.0,708.0,243.0,153.0,75.0,34,003,016000
34003017100,2014,857.0,660.0,108.0,101.0,1247.0,523.0,112.0,0.0,34,003,017100
34003017200,2014,568.0,403.0,0.0,60.0,597.0,375.0,49.0,46.0,34,003,017200
34003017300,2014,462.0,286.0,194.0,34.0,637.0,249.0,44.0,43.0,34,003,017300
34003017400,2014,557.0,314.0,59.0,46.0,675.0,482.0,103.0,47.0,34,003,017400
34003017500,2014,676.0,261.0,29.0,28.0,690.0,538.0,90.0,0.0,34,003,017500
34003018100,2014,428.0,90.0,3.0,0.0,363.0,42.0,41.0,0.0,34,003,018100
34003018200,2014,632.0,89.0,22.0,14.0,371.0,162.0,0.0,29.0,34,003,018200
34003019102,2014,279.0,187.0,43.0,14.0,452.0,169.0,56.0,13.0,34,003,019102
34003019103,2014,439.0,215.0,41.0,54.0,605.0,133.0,22.0,52.0,34,003,019103
34003019104,2014,378.0,161.0,91.0,35.0,487.0,270.0,22.0,35.0,34,003,019104
34003019202,2014,206.0,55.0,14.0,16.0,173.0,77.0,42.0,11.0,34,003,019202
34003019203,2014,319.0,158.0,58.0,62.0,308.0,337.0,56.0,45.0,34,003,019203
34003019204,2014,394.0,111.0,58.0,38.0,509.0,226.0,39.0,6.0,34,003,019204
34003019303,2014,679.0,221.0,37.0,95.0,885.0,246.0,109.0,48.0,34,003,019303
34003019304,2014,227.0,91.0,20.0,15.0,296.0,97.0,0.0,27.0,34,003,019304
34003019305,2014,872.0,617.0,194.0,109.0,1106.0,350.0,115.0,96.0,34,003,019305
34003019306,2014,334.0,104.0,52.0,6.0,328.0,184.0,74.0,13.0,34,003,019306
34003020100,2014,503.0,256.0,103.0,9.0,600.0,138.0,65.0,7.0,34,003,020100
34003020200,2014,791.0,470.0,337.0,40.0,910.0,369.0,139.0,35.0,34,003,020200
34003021100,2014,383.0,30.0,0.0,0.0,253.0,75.0,23.0,0.0,34,003,021100
34003021200,2014,318.0,65.0,9.0,2.0,387.0,140.0,11.0,0.0,34,003,021200
34003021300,2014,244.0,20.0,8.0,0.0,234.0,16.0,9.0,0.0,34,003,021300
