state_code,county_code,county_name
34,003,"Bergen, NJ"
34,013,"Essex, NJ"
34,017,"Hudson, NJ"
34,019,"Hunterdon, NJ"
34,023,"Middlesex, NJ"
34,025,"Monmouth, NJ"
34,027,"Morris, NJ"
34,029,"Ocean, NJ"
34,031,"Passaic, NJ"
34,035,"Somerset, NJ"
34,037,"Sussex, NJ"
34,039,"Union, NJ"
36,005,"Bronx, NY"
36,027,"Dutchess, NY"
36,047,"Kings, NY"
36,059,"Nassau, NY"
36,061,"New York, NY"
36,071,"Orange, NY"
36,079,"Putnam, NY"
36,081,"Queens, NY"
36,085,"Richmond, NY"
36,087,"Rockland, NY"
36,103,"Suffolk, NY"
36,119,"Westchester, NY"
42,103,"Pike, PA"
